sign,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,timestamp
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6078258752822876,0.7484479546546936,1.3613997396078048e-07,0.5663042068481445,0.7484829425811768,-0.0049931094981729,0.5325921177864075,0.7067946195602417,-0.0046018278226256,0.5207198262214661,0.6511654853820801,-0.0058369548059999,0.5351667404174805,0.6289869546890259,-0.0069209723733365,0.5291487574577332,0.6081379652023315,0.0121892159804701,0.5098121762275696,0.5496407747268677,0.0095644779503345,0.4989381432533264,0.5149021744728088,0.0033767884597182,0.4896602928638458,0.4834543168544769,-0.0031300859991461,0.5458905696868896,0.5864015221595764,0.0072740484029054,0.522718071937561,0.5249553918838501,0.0055022439919412,0.5080627799034119,0.4879634976387024,8.559571142541245e-05,0.4950330853462219,0.4579601883888244,-0.0048427125439047,0.5658208727836609,0.5780799388885498,-0.0002189324004575,0.5447588562965393,0.5182560086250305,-0.0038556850049644,0.5314540266990662,0.4849787950515747,-0.0085750855505466,0.5186452269554138,0.4589471220970154,-0.0129413027316331,0.5910922288894653,0.5791172385215759,-0.0092565417289733,0.5767266750335693,0.5348662734031677,-0.0137678738683462,0.5656883120536804,0.5136460065841675,-0.0161247067153453,0.5538297295570374,0.4983537197113037,-0.0184947606176137,2026-02-26T23:58:39.638692
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071594953536987,0.7470563650131226,1.349508096382124e-07,0.5665850639343262,0.7480435967445374,-0.0051254723221063,0.5330774784088135,0.7060385942459106,-0.0050330655649304,0.5209425091743469,0.6512500643730164,-0.0065794880501925,0.5349483489990234,0.6289224028587341,-0.00792355556041,0.5289068818092346,0.6092895269393921,0.011501089669764,0.5089079737663269,0.5514103174209595,0.0085339648649096,0.4980992674827575,0.516860842704773,0.0023314172867685,0.4894314706325531,0.4854026734828949,-0.0040023270994424,0.5454233288764954,0.5872971415519714,0.0067553473636507,0.5216989517211914,0.5263344645500183,0.0050313491374254,0.50742506980896,0.4888671040534973,7.676409586565569e-05,0.495324969291687,0.4584948420524597,-0.0045183729380369,0.5652371048927307,0.578163743019104,-0.0005967623437754,0.5439817309379578,0.5188992619514465,-0.0039551896043121,0.5309317708015442,0.4860160946846008,-0.0082461005076766,0.5187478065490723,0.4605382680892944,-0.0123530374839901,0.5904133915901184,0.5780080556869507,-0.0095401797443628,0.576444685459137,0.5340904593467712,-0.0136366318911314,0.5654990077018738,0.5130418539047241,-0.0157926548272371,0.5538197755813599,0.4981689155101776,-0.0180764868855476,2026-02-26T23:58:39.831988
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606663703918457,0.7487530708312988,1.4023940764218426e-07,0.5656930208206177,0.7475224733352661,-0.0050665223971009,0.5326536893844604,0.70622718334198,-0.0053285653702914,0.5208761692047119,0.6508503556251526,-0.0072461031377315,0.5353724956512451,0.6276912689208984,-0.0089936908334493,0.5287742018699646,0.6088560223579407,0.0114237749949097,0.5089741349220276,0.5507321357727051,0.0080398032441735,0.4983329772949219,0.5155038833618164,0.0013290225761011,0.4894781410694122,0.4830893874168396,-0.0054479604586958,0.5454513430595398,0.587505042552948,0.0064841317944228,0.5220730900764465,0.5262876749038696,0.0042263199575245,0.5080037117004395,0.4891566634178161,-0.0013521190267056,0.4956102967262268,0.4583965837955475,-0.0064063933677971,0.5654253959655762,0.5792768597602844,-0.0010093876626342,0.5441299080848694,0.5193889141082764,-0.0049072601832449,0.5311018228530884,0.485791802406311,-0.0093297362327575,0.5186154842376709,0.4593088626861572,-0.0134419491514563,0.5909766554832458,0.5802473425865173,-0.0100573478266596,0.5765892863273621,0.53553706407547,-0.0143865877762436,0.5651512145996094,0.513845682144165,-0.0164534486830234,0.5526906251907349,0.4981844127178192,-0.0186499301344156,2026-02-26T23:58:40.041018
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6072354316711426,0.746699333190918,1.4719240937211e-07,0.5652733445167542,0.7470186352729797,-0.0059761549346148,0.5323899388313293,0.705213189125061,-0.0064074997790157,0.5203205347061157,0.6501879096031189,-0.0083086350932717,0.5340853333473206,0.6274086236953735,-0.0099942767992615,0.5289984345436096,0.6088066697120667,0.0109372902661561,0.5092512965202332,0.5498279333114624,0.0074693243950605,0.4983703792095184,0.5145893096923828,0.0007249971968121,0.4893830120563507,0.4824734926223755,-0.0059238243848085,0.5459511280059814,0.5873479247093201,0.0066390959545969,0.5226263999938965,0.5250741839408875,0.0047078267671167,0.5083460211753845,0.4874819219112396,-0.0005016578943468,0.4958210587501526,0.4576217830181122,-0.0052795866504311,0.5659233331680298,0.5787205696105957,-0.0003413004160393,0.5450164675712585,0.5190874934196472,-0.0035456211771816,0.5318378806114197,0.4856047034263611,-0.0076401592232286,0.5193730592727661,0.4601214528083801,-0.0116339214146137,0.5912941098213196,0.5788904428482056,-0.0090255318209528,0.5771844387054443,0.5345678925514221,-0.0127290962263941,0.5657516717910767,0.5130206942558289,-0.0145794069394469,0.5536037683486938,0.4976526796817779,-0.0166691858321428,2026-02-26T23:58:40.231978
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061866879463196,0.7488701343536377,1.3408030952177796e-07,0.565704345703125,0.7465915679931641,-0.0047554713673889,0.5330496430397034,0.7045367360115051,-0.0049799936823546,0.5209270119667053,0.6502323150634766,-0.0069616539403796,0.5344626307487488,0.6279562711715698,-0.0088419178500771,0.5296439528465271,0.6087762713432312,0.0112216006964445,0.5096152424812317,0.5512681007385254,0.0078850593417882,0.4984431266784668,0.5172247886657715,0.0014633295359089,0.489247977733612,0.4861989617347717,-0.0050405841320753,0.546366810798645,0.5873275399208069,0.0059408373199403,0.5225741863250732,0.5257185101509094,0.0035937400534749,0.508018970489502,0.4882630705833435,-0.0019151554442942,0.495220810174942,0.4578714370727539,-0.0068457522429525,0.5664063692092896,0.5788280963897705,-0.0018310325685888,0.5447869300842285,0.5189523696899414,-0.0057972404174506,0.5315125584602356,0.4853757619857788,-0.0102691799402236,0.51865154504776,0.459217220544815,-0.0143975196406245,0.591639518737793,0.5794813632965088,-0.0111036244779825,0.5772162675857544,0.5350515246391296,-0.0155049506574869,0.5657539367675781,0.5133655071258545,-0.0175690483301877,0.5533241629600525,0.4979038536548614,-0.0197465550154447,2026-02-26T23:58:40.438428
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6067878007888794,0.7488383054733276,1.3165343659693465e-07,0.5651196241378784,0.7482227087020874,-0.0051349988207221,0.5319703817367554,0.7078198194503784,-0.0055078519508242,0.5203163623809814,0.6536462306976318,-0.0075028375722467,0.5345004796981812,0.631852388381958,-0.0093546705320477,0.5296300053596497,0.6100620031356812,0.0109012434259057,0.5101603269577026,0.5523272156715393,0.0075912214815616,0.4991819262504577,0.5185626745223999,0.0010458035394549,0.4898002743721008,0.4879747629165649,-0.0056415619328618,0.5464487075805664,0.5887765884399414,0.005850784946233,0.5228220820426941,0.5268203020095825,0.0033263077493757,0.508243978023529,0.4891566336154938,-0.0024029223714023,0.4952094256877899,0.4588709473609924,-0.0075135743245482,0.5663931369781494,0.5809970498085022,-0.0017165370518341,0.5454249382019043,0.5210996270179749,-0.005974831059575,0.5321758985519409,0.4874281287193298,-0.0109657635912299,0.5194758772850037,0.4616328775882721,-0.0154345398768782,0.591855525970459,0.5828208327293396,-0.0107710612937808,0.5784631371498108,0.5386936068534851,-0.0157059058547019,0.5671247839927673,0.5162596106529236,-0.0184289216995239,0.5549430847167969,0.4997782707214355,-0.0210405755788087,2026-02-26T23:58:40.631011
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086011528968811,0.7490288615226746,1.3759760975062818e-07,0.5664160847663879,0.7478435635566711,-0.0048730392009019,0.5333266258239746,0.7063525915145874,-0.0048298654146492,0.5206884145736694,0.6520698070526123,-0.0065273838117718,0.534263551235199,0.631576418876648,-0.0080348951742053,0.5300445556640625,0.6105725765228271,0.0128014674410223,0.5104455947875977,0.5525038242340088,0.0100457305088639,0.4995193481445312,0.5187262296676636,0.0035562915727496,0.4902189373970032,0.4874253273010254,-0.0031052210833877,0.5467061996459961,0.5888069272041321,0.0078175077214837,0.5231724977493286,0.526946485042572,0.0064249606803059,0.50881427526474,0.489340603351593,0.0011803708039224,0.495824933052063,0.4586580395698547,-0.0037598523776978,0.5666284561157227,0.5803259015083313,0.0002021362743107,0.5456639528274536,0.5212624073028564,-0.0025945573579519,0.5328139066696167,0.4876997172832489,-0.0067528737708926,0.5203797817230225,0.4616627991199493,-0.0109014231711626,0.5921360850334167,0.5810222029685974,-0.0090410327538847,0.5778225064277649,0.5371944308280945,-0.0123711442574858,0.5664648413658142,0.5149547457695007,-0.0141002582386136,0.5542802214622498,0.4983367919921875,-0.0162305645644664,2026-02-26T23:58:40.839195
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068134903907776,0.7499467730522156,1.217389780094891e-07,0.5653955936431885,0.7495027780532837,-0.0045513757504522,0.5325882434844971,0.7070909142494202,-0.0044003557413816,0.5211237668991089,0.6521489024162292,-0.0060118567198514,0.5353792309761047,0.6316224932670593,-0.007541355676949,0.5296808481216431,0.6107492446899414,0.0119875753298401,0.5102143287658691,0.554358720779419,0.0092820469290018,0.4993033707141876,0.5218112468719482,0.0031115789897739,0.4899670481681824,0.491611897945404,-0.0034113537985831,0.5463212728500366,0.5887807011604309,0.0066593228839337,0.5227475166320801,0.5274081826210022,0.0047682072035968,0.5080908536911011,0.4897850155830383,-0.0006282862159423,0.4948972761631012,0.4590145647525787,-0.005611035041511,0.5663159489631653,0.5809265375137329,-0.0011824150569736,0.5458860397338867,0.5223177075386047,-0.0048115062527358,0.5333387851715088,0.4886413216590881,-0.0094788055866956,0.52106773853302,0.4622530341148376,-0.0138690769672393,0.591770350933075,0.5829285383224487,-0.0105144614353775,0.5782393217086792,0.5391901731491089,-0.0146198235452175,0.5669087171554565,0.51677405834198,-0.0168750826269388,0.5545103549957275,0.4999721050262451,-0.0193691588938236,2026-02-26T23:58:41.033957
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076027750968933,0.7497230172157288,1.466988237552869e-07,0.5662965178489685,0.7480597496032715,-0.00496695516631,0.5332627296447754,0.7070798277854919,-0.00510971294716,0.5214172601699829,0.6534175276756287,-0.0069234096445143,0.5349138975143433,0.630695641040802,-0.0084973750635981,0.5298067331314087,0.609907865524292,0.0118118077516555,0.5094137191772461,0.5512977242469788,0.0089525775983929,0.4985302984714508,0.5171090960502625,0.0027474202215671,0.4895025491714477,0.4856940805912018,-0.0036412021145224,0.5466634631156921,0.5886355042457581,0.0068952166475355,0.5225183367729187,0.5268765687942505,0.0051018549129366,0.5081332325935364,0.4889608323574066,-0.0002410005545243,0.4956761002540588,0.4582214951515198,-0.005115583539009,0.5668060183525085,0.5803390145301819,-0.0005928134196437,0.5451276302337646,0.5213104486465454,-0.0039929556660354,0.5319322347640991,0.4876949191093445,-0.0085597988218069,0.5193473696708679,0.4615267515182495,-0.0128649119287729,0.5923938155174255,0.5806514620780945,-0.0096245631575584,0.5782632827758789,0.5367089509963989,-0.0137186301872134,0.5668588280677795,0.5151621103286743,-0.0160035509616136,0.5544893741607666,0.499204933643341,-0.0183973256498575,2026-02-26T23:58:41.239003
hi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6075106263160706,0.7494656443595886,1.438380508034243e-07,0.5665347576141357,0.7483530044555664,-0.0053201084956526,0.532755434513092,0.7060871124267578,-0.0056092552840709,0.5213196873664856,0.651546835899353,-0.0074619362130761,0.5365726351737976,0.6306095123291016,-0.0091171981766819,0.5294585824012756,0.6093974709510803,0.0106278052553534,0.5095089673995972,0.5512029528617859,0.0075914594344794,0.4986822307109833,0.5169258713722229,0.0014728720998391,0.4898062646389007,0.486035019159317,-0.0048476662486791,0.545988142490387,0.5881227254867554,0.0058544129133224,0.5223427414894104,0.5261745452880859,0.003893022891134,0.508185863494873,0.4885129928588867,-0.0010947088012471,0.4959542751312256,0.4584093689918518,-0.0056290659122169,0.5659382939338684,0.58002108335495,-0.0014726560330018,0.5448369383811951,0.5200116038322449,-0.0051171476952731,0.532036304473877,0.4863897264003753,-0.0096497656777501,0.5198709964752197,0.4606324434280395,-0.0138268209993839,0.5912814736366272,0.5812371969223022,-0.0103559698909521,0.5779917240142822,0.5369032025337219,-0.0146776875481009,0.5669097304344177,0.5149977803230286,-0.0170745253562927,0.5548955202102661,0.4994215667247772,-0.0195010248571634,2026-02-26T23:58:41.434049
